Codigo | Nombre | Path | Padre | Fecha | Raiz
MGS01.L04 onboard training attendance record - registro de entrenamiento abordo.docx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS01\MGS01.L04 onboard training attendance record - registro de entrenamiento abordo.docx | MGS01 | 10-07-2013 | 1-. Formatos\MGS01
MGS01.L07 Isolation certificate - certificado de aislamiento.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS01\MGS01.L07 Isolation certificate - certificado de aislamiento.xlsx | MGS01 | 10-07-2013 | 1-. Formatos\MGS01
MGS01.L09 Specific pre-job safety meeting - junta previa al inicio de un trabajo especifico.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS01\MGS01.L09 Specific pre-job safety meeting - junta previa al inicio de un trabajo especifico.xlsx | MGS01 | 10-07-2013 | 1-. Formatos\MGS01
MGS01.L11 Personnel accident report - reporte de accidente de personal.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS01\MGS01.L11 Personnel accident report - reporte de accidente de personal.xlsx | MGS01 | 10-07-2013 | 1-. Formatos\MGS01
MGS01.L12 Drill evaluation - evaluacion de simulacro.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS01\MGS01.L12 Drill evaluation - evaluacion de simulacro.xlsx | MGS01 | 10-07-2013 | 1-. Formatos\MGS01
MGS01.L17 pre tour safety meeting - junta previa al inicio de turno.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS01\MGS01.L17 pre tour safety meeting - junta previa al inicio de turno.xlsx | MGS01 | 10-07-2013 | 1-. Formatos\MGS01
MGS01.L19 Safety Meeting Attendance Rev.01.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS01\MGS01.L19 Safety Meeting Attendance Rev.01.xlsx | MGS01 | 10-07-2013 | 1-. Formatos\MGS01
MGS02.F01 - Consentimiento para la practica de prueba Antidoping.docx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS02\MGS02.F01 - Consentimiento para la practica de prueba Antidoping.docx | MGS02 | 10-07-2013 | 1-. Formatos\MGS02
MGS02.F02 - Servicio Medico.docx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS02\MGS02.F02 - Servicio Medico.docx | MGS02 | 05-11-2013 | 1-. Formatos\MGS02
MGS02.F03 - Cuestionario de Salud -Health Quest.xls | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS02\MGS02.F03 - Cuestionario de Salud -Health Quest.xls | MGS02 | 05-11-2013 | 1-. Formatos\MGS02
MGS02.F04 - Verificación Comisaria.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS02\MGS02.F04 - Verificación Comisaria.xlsx | MGS02 | 05-11-2013 | 1-. Formatos\MGS02
MGS02.F05 - Hygiene Inspection - Inspeccion de Higiene.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS02\MGS02.F05 - Hygiene Inspection - Inspeccion de Higiene.xlsx | MGS02 | 05-11-2013 | 1-. Formatos\MGS02
MGS02.F06 - Info llegada a Plataforma - Info upon arrival.xlsx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS02\MGS02.F06 - Info llegada a Plataforma - Info upon arrival.xlsx | MGS02 | 05-11-2013 | 1-. Formatos\MGS02
