Codigo | Nombre | Path | Padre | Fecha | Raiz
077 FM03 - Engineering Modification Request Form master.docx | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Formatos Mantto\077 FM03 - Engineering Modification Request Form master.docx | Formatos Mantto | 10-07-2013 | Formatos Mantto
077.FM02 Recepcion de documentos Rev.00 (28-Oct-10).docx | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Formatos Mantto\077.FM02 Recepcion de documentos Rev.00 (28-Oct-10).docx | Formatos Mantto | 10-07-2013 | Formatos Mantto
077.PM023.F01 - Format  Diesel Fuel to Boat Receipt.docx | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Formatos Mantto\077.PM023.F01 - Format  Diesel Fuel to Boat Receipt.docx | Formatos Mantto | 10-07-2013 | Formatos Mantto
077.IM001 - Operate for Fire line, Burner Boom, Deluge (28-Feb-13)NC.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Instructive Maint PDF Uncont\077.IM001 - Operate for Fire line, Burner Boom, Deluge (28-Feb-13)NC.pdf | Instructive Maint PDF Uncont | 10-07-2013 | Instructive Maint PDF Uncont
077.IM002 - Starting Fire main Booster Pump (28-Feb-13)NC.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Instructive Maint PDF Uncont\077.IM002 - Starting Fire main Booster Pump (28-Feb-13)NC.pdf | Instructive Maint PDF Uncont | 10-07-2013 | Instructive Maint PDF Uncont
077.IM003 - Starting stand by AC unit CCR, LER & b.up DP room (28-Feb-13)NC.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Instructive Maint PDF Uncont\077.IM003 - Starting stand by AC unit CCR, LER & b.up DP room (28-Feb-13)NC.pdf | Instructive Maint PDF Uncont | 10-07-2013 | Instructive Maint PDF Uncont
077.IM004 - End of well HV black-out recovery test R.01 (24-Mar-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Instructive Maint PDF Uncont\077.IM004 - End of well HV black-out recovery test R.01 (24-Mar-15) nc.pdf | Instructive Maint PDF Uncont | 18-04-2015 | Instructive Maint PDF Uncont
077.IM005 - Work instructions for fuel tank sensor calibration (04-Feb-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Instructive Maint PDF Uncont\077.IM005 - Work instructions for fuel tank sensor calibration (04-Feb-15) nc.pdf | Instructive Maint PDF Uncont | 03-03-2015 | Instructive Maint PDF Uncont
Thumbs.db | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Instructive Maint PDF Uncont\Thumbs.db | Instructive Maint PDF Uncont | 18-12-2013 | Instructive Maint PDF Uncont
077.IM001 - Operar líneas vs incendio, burner boom y diluvio (28-Feb-13) NC.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Instructivos Mantto PDF No cont\077.IM001 - Operar líneas vs incendio, burner boom y diluvio (28-Feb-13) NC.pdf | Instructivos Mantto PDF No cont | 10-07-2013 | Instructivos Mantto PDF No cont
077.IM002 - Arranque de bomba contraincendios de refuerzo (28-Feb-13) NC.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Instructivos Mantto PDF No cont\077.IM002 - Arranque de bomba contraincendios de refuerzo (28-Feb-13) NC.pdf | Instructivos Mantto PDF No cont | 10-07-2013 | Instructivos Mantto PDF No cont
077.IM003 - Op.AC respaldo Puente,4to.eléctrico,DP respaldo (28-Feb-13) NC.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Instructivos Mantto PDF No cont\077.IM003 - Op.AC respaldo Puente,4to.eléctrico,DP respaldo (28-Feb-13) NC.pdf | Instructivos Mantto PDF No cont | 10-07-2013 | Instructivos Mantto PDF No cont
077.IM004 - Pba de recuperacion de apagon HV por fin de pozo R.01 (24-Mar-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Instructivos Mantto PDF No cont\077.IM004 - Pba de recuperacion de apagon HV por fin de pozo R.01 (24-Mar-15) nc.pdf | Instructivos Mantto PDF No cont | 18-04-2015 | Instructivos Mantto PDF No cont
077.IM005 - Instr para calibración del sensor del tanque de diesel (04-Feb-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Instructivos Mantto PDF No cont\077.IM005 - Instr para calibración del sensor del tanque de diesel (04-Feb-15) nc.pdf | Instructivos Mantto PDF No cont | 03-03-2015 | Instructivos Mantto PDF No cont
Thumbs.db | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Instructivos Mantto PDF No cont\Thumbs.db | Instructivos Mantto PDF No cont | 18-12-2013 | Instructivos Mantto PDF No cont
077.PM001 - Bilge alarms & bilge valve test-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Proc Maintenance PDF Uncontrolled\077.PM001 - Bilge alarms & bilge valve test-nc.pdf | Proc Maintenance PDF Uncontrolled | 10-07-2013 | Proc Maintenance PDF Uncontrolled
077.PM002 - Emergency Thruster Steering Operation-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Proc Maintenance PDF Uncontrolled\077.PM002 - Emergency Thruster Steering Operation-nc.pdf | Proc Maintenance PDF Uncontrolled | 10-07-2013 | Proc Maintenance PDF Uncontrolled
077.PM003 - ESD test on machinery spaces R.01 (20-Apr-13)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Proc Maintenance PDF Uncontrolled\077.PM003 - ESD test on machinery spaces R.01 (20-Apr-13)-nc.pdf | Proc Maintenance PDF Uncontrolled | 10-07-2013 | Proc Maintenance PDF Uncontrolled
077.PM004 - Low pressure lub.oil main engines shut down test-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Proc Maintenance PDF Uncontrolled\077.PM004 - Low pressure lub.oil main engines shut down test-nc.pdf | Proc Maintenance PDF Uncontrolled | 10-07-2013 | Proc Maintenance PDF Uncontrolled
077.PM005 - Main Engine Over Speed Shut Down Procedure-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\7 - Mantenimiento - Maintenance\Proc Maintenance PDF Uncontrolled\077.PM005 - Main Engine Over Speed Shut Down Procedure-nc.pdf | Proc Maintenance PDF Uncontrolled | 10-07-2013 | Proc Maintenance PDF Uncontrolled
