Codigo | Nombre | Path | Padre | Fecha | Raiz
071.PD001 - Backreaming out of the hole R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD001 - Backreaming out of the hole R.01 (20-Nov-15).pdf | Drilling 071 PDF Uncontrolled | 23-01-2016 | Drilling 071 PDF Uncontrolled
071.PD002 - Brake out bit and bit subs with rig tongs R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD002 - Brake out bit and bit subs with rig tongs R.01 (20-Nov-15).pdf | Drilling 071 PDF Uncontrolled | 23-01-2016 | Drilling 071 PDF Uncontrolled
071.PD003 - Building BHA at well center R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD003 - Building BHA at well center R.01 (20-Nov-15).pdf | Drilling 071 PDF Uncontrolled | 23-01-2016 | Drilling 071 PDF Uncontrolled
071.PD004 - Bulk material transfer-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD004 - Bulk material transfer-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD005 - Change Liner and Piston on Wirth 2200 Series mud pump-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD005 - Change Liner and Piston on Wirth 2200 Series mud pump-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD006 - Change out rupture disk on Wirth 2200 Series mud pump-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD006 - Change out rupture disk on Wirth 2200 Series mud pump-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD007 - Change out wear plate on Wirth 2200 series mud pump-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD007 - Change out wear plate on Wirth 2200 series mud pump-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD008 - Change valve and seat on Wirth 2200 series mud pump R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD008 - Change valve and seat on Wirth 2200 series mud pump R.01 (20-Nov-15).pdf | Drilling 071 PDF Uncontrolled | 23-01-2016 | Drilling 071 PDF Uncontrolled
071.PD009 - Change wash pipe on DDM-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD009 - Change wash pipe on DDM-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD010 - Changing discharge module on Wirth 2200 series mud pumps-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD010 - Changing discharge module on Wirth 2200 series mud pumps-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD011 - Changing over 1000 ton bails and BX elevators-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD011 - Changing over 1000 ton bails and BX elevators-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
