Codigo | Nombre | Path | Padre | Fecha | Raiz
077.PB001 - Desconexión programada de LMRP -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB001 - Desconexión programada de LMRP -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB002 - Prueba del ariete  de corte de tubería de revestimiento de 80 libras -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB002 - Prueba del ariete  de corte de tubería de revestimiento de 80 libras -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB003 - Desconexión de emergencia del LMRP, Recuperación de pescado  y Conexión -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB003 - Desconexión de emergencia del LMRP, Recuperación de pescado  y Conexión -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB004 - Manejo de tramo corto del riser y de la válvula de llenado -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB004 - Manejo de tramo corto del riser y de la válvula de llenado -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB005 - Instalación de la herramienta para introducción de riser -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB005 - Instalación de la herramienta para introducción de riser -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB006 - Prueba del sistema de retroceso del riser -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB006 - Prueba del sistema de retroceso del riser -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB007 - Simulación de aterrizaje del BOP, uso de cilindros DAT, CMC y AHC -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB007 - Simulación de aterrizaje del BOP, uso de cilindros DAT, CMC y AHC -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB010 - Instalación de araña y el Gimbal (cardán) -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB010 - Instalación de araña y el Gimbal (cardán) -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB011 - Pruebas de presión del equipo de control de pozos de superficie -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB011 - Pruebas de presión del equipo de control de pozos de superficie -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB012 - Preparativos y corrida de BOP R.01 (31-Mar-14) -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB012 - Preparativos y corrida de BOP R.01 (31-Mar-14) -nc.pdf | Submarino PDF | 05-04-2014 | Procedimientos\Submarino PDF
077.PB013 - Metiendo el tramo de deslizamiento -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB013 - Metiendo el tramo de deslizamiento -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
077.PB014 - Prueba del ariete de corte de tubería de revestimiento de 40 libras -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\12 - Submarino - Subsea\Procedimientos\Submarino PDF\077.PB014 - Prueba del ariete de corte de tubería de revestimiento de 40 libras -nc.pdf | Submarino PDF | 07-07-2013 | Procedimientos\Submarino PDF
